
"Acrimony","신랄"
"Anointing Settling Ash will give you","내려앉는 재 성유를 부으면 다음 효과를 제공"
"Anointing Shaman's Dominion changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 주술사의 지배 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Shaman's Dominion changes nothing because this node is already anointed.","이 노드에는 이미 주술사의 지배 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Shaman's Dominion changes nothing.","주술사의 지배 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Shaman's Dominion will give you","주술사의 지배 성유를 부으면 다음 효과를 제공"
"Anointing Shamanistic Fury changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 주술사의 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Shamanistic Fury changes nothing because this node is already anointed.","이 노드에는 이미 주술사의 광분 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Shamanistic Fury changes nothing.","주술사의 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Shamanistic Fury will give you","주술사의 광분 성유를 부으면 다음 효과를 제공"
"Anointing Shaper changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 쉐이퍼 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Shaper changes nothing because this node is already anointed.","이 노드에는 이미 쉐이퍼 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Shaper changes nothing.","쉐이퍼 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Shaper will give you","쉐이퍼 성유를 부으면 다음 효과를 제공"
"Anointing Silent Steps changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 은밀한 발걸음 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Silent Steps changes nothing because this node is already anointed.","이 노드에는 이미 은밀한 발걸음 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Silent Steps changes nothing.","은밀한 발걸음 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Silent Steps will give you","은밀한 발걸음 성유를 부으면 다음 효과를 제공"
"Anointing Skittering Runes changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 달리는 룬 문자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Skittering Runes changes nothing because this node is already anointed.","이 노드에는 이미 달리는 룬 문자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Skittering Runes changes nothing.","달리는 룬 문자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Skittering Runes will give you","달리는 룬 문자 성유를 부으면 다음 효과를 제공"
"Anointing Skull Cracking changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 해골 부수기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Skull Cracking changes nothing because this node is already anointed.","이 노드에는 이미 해골 부수기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Skull Cracking changes nothing.","해골 부수기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Skull Cracking will give you","해골 부수기 성유를 부으면 다음 효과를 제공"
"Anointing Slaughter changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 살육 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Slaughter changes nothing because this node is already anointed.","이 노드에는 이미 살육 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Slaughter changes nothing.","살육 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Slaughter will give you","살육 성유를 부으면 다음 효과를 제공"
"Anointing Sleight of Hand changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 교묘한 손재주 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Sleight of Hand changes nothing because this node is already anointed.","이 노드에는 이미 교묘한 손재주 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Sleight of Hand changes nothing.","교묘한 손재주 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Sleight of Hand will give you","교묘한 손재주 성유를 부으면 다음 효과를 제공"
"Anointing Smashing Strikes changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 박살내는 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Smashing Strikes changes nothing because this node is already anointed.","이 노드에는 이미 박살내는 일격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Smashing Strikes changes nothing.","박살내는 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Smashing Strikes will give you","박살내는 일격 성유를 부으면 다음 효과를 제공"
"Anointing Snowforged changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 눈의 대장간 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Snowforged changes nothing because this node is already anointed.","이 노드에는 이미 눈의 대장간 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Snowforged changes nothing.","눈의 대장간 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Snowforged will give you","눈의 대장간 성유를 부으면 다음 효과를 제공"
"Anointing Soul Siphon changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 영혼 착취 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Soul Siphon changes nothing because this node is already anointed.","이 노드에는 이미 영혼 착취 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Soul Siphon changes nothing.","영혼 착취 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Soul Siphon will give you","영혼 착취 성유를 부으면 다음 효과를 제공"
"Anointing Soul Thief changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 영혼 도둑 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Soul Thief changes nothing because this node is already anointed.","이 노드에는 이미 영혼 도둑 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Soul Thief changes nothing.","영혼 도둑 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Soul Thief will give you","영혼 도둑 성유를 부으면 다음 효과를 제공"
"Anointing Soul of Steel changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 강철의 영혼 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Soul of Steel changes nothing because this node is already anointed.","이 노드에는 이미 강철의 영혼 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Soul of Steel changes nothing.","강철의 영혼 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Soul of Steel will give you","강철의 영혼 성유를 부으면 다음 효과를 제공"
"Anointing Sovereignty changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 주권 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Sovereignty changes nothing because this node is already anointed.","이 노드에는 이미 주권 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Sovereignty changes nothing.","주권 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Sovereignty will give you","주권 성유를 부으면 다음 효과를 제공"
"Anointing Spiked Bulwark changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 가시 방벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spiked Bulwark changes nothing because this node is already anointed.","이 노드에는 이미 가시 방벽 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Spiked Bulwark changes nothing.","가시 방벽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spiked Bulwark will give you","가시 방벽 성유를 부으면 다음 효과를 제공"
"Anointing Spinecruncher changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 척추 접기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spinecruncher changes nothing because this node is already anointed.","이 노드에는 이미 척추 접기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Spinecruncher changes nothing.","척추 접기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spinecruncher will give you","척추 접기 성유를 부으면 다음 효과를 제공"
"Anointing Spirit Void changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 혼백 비우기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spirit Void changes nothing because this node is already anointed.","이 노드에는 이미 혼백 비우기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Spirit Void changes nothing.","혼백 비우기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spirit Void will give you","혼백 비우기 성유를 부으면 다음 효과를 제공"
"Anointing Spiritual Aid changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 혼백의 도움 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spiritual Aid changes nothing because this node is already anointed.","이 노드에는 이미 혼백의 도움 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Spiritual Aid changes nothing.","혼백의 도움 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spiritual Aid will give you","혼백의 도움 성유를 부으면 다음 효과를 제공"
"Anointing Spiritual Command changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 혼백의 명령 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spiritual Command changes nothing because this node is already anointed.","이 노드에는 이미 혼백의 명령 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Spiritual Command changes nothing.","혼백의 명령 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Spiritual Command will give you","혼백의 명령 성유를 부으면 다음 효과를 제공"
"Anointing Split Shot changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 분할 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Split Shot changes nothing because this node is already anointed.","이 노드에는 이미 분할 사격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Split Shot changes nothing.","분할 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Split Shot will give you","분할 사격 성유를 부으면 다음 효과를 제공"
"Anointing Stamina changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 지구력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Stamina changes nothing because this node is already anointed.","이 노드에는 이미 지구력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Stamina changes nothing.","지구력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Stamina will give you","지구력 성유를 부으면 다음 효과를 제공"
"Anointing Static Blows changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정전기 타격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Static Blows changes nothing because this node is already anointed.","이 노드에는 이미 정전기 타격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Static Blows changes nothing.","정전기 타격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Static Blows will give you","정전기 타격 성유를 부으면 다음 효과를 제공"
"Anointing Steadfast changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 요지부동 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Steadfast changes nothing because this node is already anointed.","이 노드에는 이미 요지부동 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Steadfast changes nothing.","요지부동 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Steadfast will give you","요지부동 성유를 부으면 다음 효과를 제공"
"Anointing Steelwood Stance changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 강철목 자세 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Steelwood Stance changes nothing because this node is already anointed.","이 노드에는 이미 강철목 자세 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Steelwood Stance changes nothing.","강철목 자세 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Steelwood Stance will give you","강철목 자세 성유를 부으면 다음 효과를 제공"
"Anointing Steeped in the Profane changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 부정에 대한 몰입 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Steeped in the Profane changes nothing because this node is already anointed.","이 노드에는 이미 부정에 대한 몰입 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Steeped in the Profane changes nothing.","부정에 대한 몰입 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Steeped in the Profane will give you","부정에 대한 몰입 성유를 부으면 다음 효과를 제공"
"Anointing Storm Weaver changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 태풍술사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Storm Weaver changes nothing because this node is already anointed.","이 노드에는 이미 태풍술사 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Storm Weaver changes nothing.","태풍술사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Storm Weaver will give you","태풍술사 성유를 부으면 다음 효과를 제공"
"Anointing Strong Arm changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 튼튼한 팔 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Strong Arm changes nothing because this node is already anointed.","이 노드에는 이미 튼튼한 팔 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Strong Arm changes nothing.","튼튼한 팔 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Strong Arm will give you","튼튼한 팔 성유를 부으면 다음 효과를 제공"
"Anointing Successive Detonations changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 연이은 폭발 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Successive Detonations changes nothing because this node is already anointed.","이 노드에는 이미 연이은 폭발 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Successive Detonations changes nothing.","연이은 폭발 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Successive Detonations will give you","연이은 폭발 성유를 부으면 다음 효과를 제공"
"Anointing Surge of Vigour changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 쇄도하는 활력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Surge of Vigour changes nothing because this node is already anointed.","이 노드에는 이미 쇄도하는 활력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Surge of Vigour changes nothing.","쇄도하는 활력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Surge of Vigour will give you","쇄도하는 활력 성유를 부으면 다음 효과를 제공"
"Anointing Surveillance changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 파수 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Surveillance changes nothing because this node is already anointed.","이 노드에는 이미 파수 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Surveillance changes nothing.","파수 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Surveillance will give you","파수 성유를 부으면 다음 효과를 제공"
"Anointing Survivalist changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 생존주의자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Survivalist changes nothing because this node is already anointed.","이 노드에는 이미 생존주의자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Survivalist changes nothing.","생존주의자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Survivalist will give you","생존주의자 성유를 부으면 다음 효과를 제공"
"Anointing Swagger changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 활보 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Swagger changes nothing because this node is already anointed.","이 노드에는 이미 활보 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Swagger changes nothing.","활보 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Swagger will give you","활보 성유를 부으면 다음 효과를 제공"
"Anointing Swift Venoms changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 즉발성 맹독 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Swift Venoms changes nothing because this node is already anointed.","이 노드에는 이미 즉발성 맹독 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Swift Venoms changes nothing.","즉발성 맹독 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Swift Venoms will give you","즉발성 맹독 성유를 부으면 다음 효과를 제공"
"Anointing Taste for Blood changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 피의 갈증 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Taste for Blood changes nothing because this node is already anointed.","이 노드에는 이미 피의 갈증 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Taste for Blood changes nothing.","피의 갈증 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Taste for Blood will give you","피의 갈증 성유를 부으면 다음 효과를 제공"
"Anointing Tempest Blast changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 폭풍 강타 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tempest Blast changes nothing because this node is already anointed.","이 노드에는 이미 폭풍 강타 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Tempest Blast changes nothing.","폭풍 강타 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tempest Blast will give you","폭풍 강타 성유를 부으면 다음 효과를 제공"
"Anointing Tenacity changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 참을성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tenacity changes nothing because this node is already anointed.","이 노드에는 이미 참을성 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Tenacity changes nothing.","참을성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tenacity will give you","참을성 성유를 부으면 다음 효과를 제공"
"Anointing Testudo changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 귀갑 방패 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Testudo changes nothing because this node is already anointed.","이 노드에는 이미 귀갑 방패 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Testudo changes nothing.","귀갑 방패 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Testudo will give you","귀갑 방패 성유를 부으면 다음 효과를 제공"
"Anointing Thick Skin changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 두꺼운 가죽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Thick Skin changes nothing because this node is already anointed.","이 노드에는 이미 두꺼운 가죽 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Thick Skin changes nothing.","두꺼운 가죽 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Thick Skin will give you","두꺼운 가죽 성유를 부으면 다음 효과를 제공"
"Anointing Thief's Craft changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 도둑의 술책 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Thief's Craft changes nothing because this node is already anointed.","이 노드에는 이미 도둑의 술책 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Thief's Craft changes nothing.","도둑의 술책 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Thief's Craft will give you","도둑의 술책 성유를 부으면 다음 효과를 제공"
"Anointing Thrill Killer changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 살인마 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Thrill Killer changes nothing because this node is already anointed.","이 노드에는 이미 살인마 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Thrill Killer changes nothing.","살인마 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Thrill Killer will give you","살인마 성유를 부으면 다음 효과를 제공"
"Anointing Throatseeker changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 숨통 노리기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Throatseeker changes nothing because this node is already anointed.","이 노드에는 이미 숨통 노리기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Throatseeker changes nothing.","숨통 노리기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Throatseeker will give you","숨통 노리기 성유를 부으면 다음 효과를 제공"
"Anointing Tireless changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 끈기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tireless changes nothing because this node is already anointed.","이 노드에는 이미 끈기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Tireless changes nothing.","끈기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tireless will give you","끈기 성유를 부으면 다음 효과를 제공"
"Anointing Titanic Impacts changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 거대한 충격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Titanic Impacts changes nothing because this node is already anointed.","이 노드에는 이미 거대한 충격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Titanic Impacts changes nothing.","거대한 충격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Titanic Impacts will give you","거대한 충격 성유를 부으면 다음 효과를 제공"
"Anointing Tolerance changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 내성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tolerance changes nothing because this node is already anointed.","이 노드에는 이미 내성 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Tolerance changes nothing.","내성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tolerance will give you","내성 성유를 부으면 다음 효과를 제공"
"Anointing Totemic Zeal changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 토템의 열의 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Totemic Zeal changes nothing because this node is already anointed.","이 노드에는 이미 토템의 열의 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Totemic Zeal changes nothing.","토템의 열의 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Totemic Zeal will give you","토템의 열의 성유를 부으면 다음 효과를 제공"
"Anointing Toxic Strikes changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 맹독성 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Toxic Strikes changes nothing because this node is already anointed.","이 노드에는 이미 맹독성 일격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Toxic Strikes changes nothing.","맹독성 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Toxic Strikes will give you","맹독성 일격 성유를 부으면 다음 효과를 제공"
"Anointing Tranquility changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 고요함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tranquility changes nothing because this node is already anointed.","이 노드에는 이미 고요함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Tranquility changes nothing.","고요함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tranquility will give you","고요함 성유를 부으면 다음 효과를 제공"
"Anointing Trial of the Faith changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신념의 시험 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Trial of the Faith changes nothing because this node is already anointed.","이 노드에는 이미 신념의 시험 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Trial of the Faith changes nothing.","신념의 시험 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Trial of the Faith will give you","신념의 시험 성유를 부으면 다음 효과를 제공"
"Anointing Tribal Fury changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 부족의 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tribal Fury changes nothing because this node is already anointed.","이 노드에는 이미 부족의 광분 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Tribal Fury changes nothing.","부족의 광분 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Tribal Fury will give you","부족의 광분 성유를 부으면 다음 효과를 제공"
"Anointing Trick Shot changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기교 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Trick Shot changes nothing because this node is already anointed.","이 노드에는 이미 기교 사격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Trick Shot changes nothing.","기교 사격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Trick Shot will give you","기교 사격 성유를 부으면 다음 효과를 제공"
"Anointing Trickery changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 계략 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Trickery changes nothing because this node is already anointed.","이 노드에는 이미 계략 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Trickery changes nothing.","계략 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Trickery will give you","계략 성유를 부으면 다음 효과를 제공"
"Anointing True Strike changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 정확한 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing True Strike changes nothing because this node is already anointed.","이 노드에는 이미 정확한 일격 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing True Strike changes nothing.","정확한 일격 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing True Strike will give you","정확한 일격 성유를 부으면 다음 효과를 제공"
"Anointing Twin Terrors changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 쌍수의 공포 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Twin Terrors changes nothing because this node is already anointed.","이 노드에는 이미 쌍수의 공포 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Twin Terrors changes nothing.","쌍수의 공포 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Twin Terrors will give you","쌍수의 공포 성유를 부으면 다음 효과를 제공"
"Anointing Undertaker changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 장의사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Undertaker changes nothing because this node is already anointed.","이 노드에는 이미 장의사 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Undertaker changes nothing.","장의사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Undertaker will give you","장의사 성유를 부으면 다음 효과를 제공"
"Anointing Unfaltering changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 단호함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Unfaltering changes nothing because this node is already anointed.","이 노드에는 이미 단호함 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Unfaltering changes nothing.","단호함 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Unfaltering will give you","단호함 성유를 부으면 다음 효과를 제공"
"Anointing Unnatural Calm changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 기이한 고요 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Unnatural Calm changes nothing because this node is already anointed.","이 노드에는 이미 기이한 고요 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Unnatural Calm changes nothing.","기이한 고요 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Unnatural Calm will give you","기이한 고요 성유를 부으면 다음 효과를 제공"
"Anointing Unstable Munitions changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 불안정한 탄약 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Unstable Munitions changes nothing because this node is already anointed.","이 노드에는 이미 불안정한 탄약 성유가 부어져 있어서 아무것도 변경되지 않습니다."
